epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,572.543,0.78606,0.39629,0.80155,0.93133,0.75545,0.82339,0.58473,0.76281,0.39585,0.80633,0.000173375,0.000173375,0.000173375
89,580.288,0.78685,0.39572,0.80172,0.91903,0.76209,0.82095,0.57949,0.7641,0.3944,0.80693,0.000161,0.000161,0.000161
90,588.083,0.79258,0.40215,0.79855,0.87009,0.76441,0.81231,0.56934,0.76465,0.39814,0.80738,0.000148625,0.000148625,0.000148625
91,629.69,0.74177,0.38876,0.79776,0.87907,0.73965,0.80756,0.55848,0.7796,0.40246,0.8069,0.00013625,0.00013625,0.00013625
92,635.948,0.75509,0.38932,0.79681,0.87579,0.74459,0.80876,0.57033,0.77704,0.40529,0.80649,0.000123875,0.000123875,0.000123875
93,642.231,0.72868,0.38142,0.79334,0.89466,0.73304,0.80436,0.56824,0.77144,0.40854,0.80692,0.0001115,0.0001115,0.0001115
94,648.389,0.73645,0.37976,0.79674,0.89547,0.73443,0.80559,0.57194,0.76256,0.40139,0.80671,9.9125e-05,9.9125e-05,9.9125e-05
95,654.97,0.70802,0.3703,0.79634,0.89691,0.74683,0.81674,0.57235,0.76152,0.39571,0.8068,8.675e-05,8.675e-05,8.675e-05
96,661.896,0.71738,0.37495,0.79541,0.88988,0.76415,0.8177,0.57652,0.76046,0.39455,0.80687,7.4375e-05,7.4375e-05,7.4375e-05
97,668.31,0.71421,0.36579,0.79372,0.87667,0.75655,0.8132,0.57345,0.76038,0.39409,0.80618,6.2e-05,6.2e-05,6.2e-05
98,674.629,0.70747,0.36774,0.79428,0.89193,0.76334,0.82072,0.57373,0.75744,0.39239,0.80652,4.9625e-05,4.9625e-05,4.9625e-05
99,681.08,0.71682,0.36898,0.79487,0.90609,0.75641,0.82174,0.57357,0.75373,0.39015,0.80715,3.725e-05,3.725e-05,3.725e-05
100,687.738,0.71174,0.36723,0.79433,0.89274,0.76551,0.82154,0.57554,0.75081,0.3893,0.80654,2.4875e-05,2.4875e-05,2.4875e-05
